condition_id,argmax_accuracy,bin,confidence_calibration_gap,count,display_name,framing,lower_probability_inclusive,mean_argmax_confidence,mean_probability_yes,observed_yes_rate,probability_calibration_gap,probability_field,upper_probability_exclusive,upper_probability_inclusive,weight
baseline.robust_0.8B.no_manual,,1,,0,Baseline 0.8B — no manual,yes_no,0.0,,,,,verdict_prob_belongs,0.1,,0.0
baseline.robust_0.8B.no_manual,,2,,0,Baseline 0.8B — no manual,yes_no,0.1,,,,,verdict_prob_belongs,0.2,,0.0
baseline.robust_0.8B.no_manual,,3,,0,Baseline 0.8B — no manual,yes_no,0.2,,,,,verdict_prob_belongs,0.3,,0.0
baseline.robust_0.8B.no_manual,,4,,0,Baseline 0.8B — no manual,yes_no,0.3,,,,,verdict_prob_belongs,0.4,,0.0
baseline.robust_0.8B.no_manual,,5,,0,Baseline 0.8B — no manual,yes_no,0.4,,,,,verdict_prob_belongs,0.5,,0.0
baseline.robust_0.8B.no_manual,,6,,0,Baseline 0.8B — no manual,yes_no,0.5,,,,,verdict_prob_belongs,0.6,,0.0
baseline.robust_0.8B.no_manual,,7,,0,Baseline 0.8B — no manual,yes_no,0.6,,,,,verdict_prob_belongs,0.7,,0.0
baseline.robust_0.8B.no_manual,,8,,0,Baseline 0.8B — no manual,yes_no,0.7,,,,,verdict_prob_belongs,0.8,,0.0
baseline.robust_0.8B.no_manual,0.0,9,0.8818260606031573,38,Baseline 0.8B — no manual,yes_no,0.8,0.8818260606031573,0.8818260606031573,0.0,0.8818260606031573,verdict_prob_belongs,0.9,,0.012666666666666666
baseline.robust_0.8B.no_manual,0.337609723160027,10,0.6202267570063157,2962,Baseline 0.8B — no manual,yes_no,0.9,0.9578364801663427,0.9578364801663427,0.337609723160027,0.6202267570063157,verdict_prob_belongs,,1.0,0.9873333333333333
baseline.robust_0.8B.no_manual,,1,,0,Baseline 0.8B — no manual,true_false,0.0,,,,,boolean_prob_true,0.1,,0.0
baseline.robust_0.8B.no_manual,,2,,0,Baseline 0.8B — no manual,true_false,0.1,,,,,boolean_prob_true,0.2,,0.0
baseline.robust_0.8B.no_manual,,3,,0,Baseline 0.8B — no manual,true_false,0.2,,,,,boolean_prob_true,0.3,,0.0
baseline.robust_0.8B.no_manual,1.0,4,0.388618026705849,1,Baseline 0.8B — no manual,true_false,0.3,0.611381973294151,0.38861802670584894,0.0,0.38861802670584894,boolean_prob_true,0.4,,0.0003333333333333333
baseline.robust_0.8B.no_manual,0.9662921348314607,5,0.43865144521943955,89,Baseline 0.8B — no manual,true_false,0.4,0.5276406896120212,0.4723593103879789,0.033707865168539325,0.43865144521943955,boolean_prob_true,0.5,,0.029666666666666668
baseline.robust_0.8B.no_manual,0.13959085439229843,6,0.4213538540160523,831,Baseline 0.8B — no manual,true_false,0.5,0.5609447084083508,0.5609447084083508,0.13959085439229843,0.4213538540160523,boolean_prob_true,0.6,,0.277
