condition_id,filename,candidate_keys_compared,canonical_filename,check,comparison_status,conflict_examples,conflicting_candidate_key_count,content_mismatch_pair_count,content_verified_pair_count,duplicate_exact_key_count,duplicate_exact_key_examples,duplicate_exact_key_excess_rows,duplicate_stage_pmid_examples,duplicate_stage_pmid_excess_rows,duplicate_stage_pmid_key_count,duplicates_absent,eligible_for_unambiguous_pairing,exact_pair_count,excess_expected_stage_records.Round 1: True Tag,excess_expected_stage_records.Round 2: Unrelated Tag,excess_expected_stage_records.Round 3: Similar Tag,expected,filenames,invalid_truth_count,key_fields_complete,left_condition,message,missing_candidate_count,missing_expected_stage_records.Round 1: True Tag,missing_expected_stage_records.Round 2: Unrelated Tag,missing_expected_stage_records.Round 3: Similar Tag,missing_or_invalid_truth_count,missing_pmid_count,missing_stage_count,observed,observed.interactive_results_BAB_swapped_full.json,observed.interactive_results_BAB_swapped_labels_full.json,passed,path,record_complete,right_condition,row_count,severity,source,stage_inferred_truth_count,stage_truth_conflict_count,stage_unique_counts.Round 1: True Tag,stage_unique_counts.Round 2: Unrelated Tag,stage_unique_counts.Round 3: Similar Tag,status,unique_exact_key_count,unique_stage_pmid_count,value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pydantic_interactive_subgroups[0].warning,,,,,,,,,,,,,,The older Pydantic interactive result file is not available as a normalized condition.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,severity_counts.warning,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has_errors,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has_warnings,,,,,,,,,,,,,,True
asymmetric_titleonly.baseline,,,,condition_keys,,,,,,0,[],0,[],0,0,True,True,,0,0,0,,,,True,,,0,0,0,0,0,0,0,,,,,,True,,3000,info,findings,,,1000,1000,1000,,3000,3000,
asymmetric_titleonly.interactive.ABA,,,,condition_keys,,,,,,0,[],0,[],0,0,True,True,,0,0,0,,,,True,,,0,0,0,0,0,0,0,,,,,,True,,3000,info,findings,,,1000,1000,1000,,3000,3000,
asymmetric_titleonly.statement,,,,condition_keys,,,,,,0,[],0,[],0,0,True,True,,0,0,0,,,,True,,,0,0,0,0,0,0,0,,,,,,True,,3000,info,findings,,,1000,1000,1000,,3000,3000,
baseline.legacy_0.8B,,,,condition_keys,,,,,,0,[],0,[],0,0,True,True,,0,0,0,,,,True,,,0,0,811,1000,0,0,0,,,,,,False,,1189,warning,findings,,,1000,189,0,,1189,1189,
baseline.older_pydantic_0.8B,,,,condition_keys,,,,,,0,[],0,[],0,0,True,True,,0,0,0,,,,True,,,0,0,0,0,0,0,0,,,,,,True,,3000,info,findings,,,1000,1000,1000,,3000,3000,
baseline.robust_0.8B.no_manual,,,,condition_keys,,,,,,0,[],0,[],0,0,True,True,,0,0,0,,,,True,,,0,0,0,0,0,0,0,,,,,,True,,3000,info,findings,,,1000,1000,1000,,3000,3000,
baseline.robust_0.8B.with_manual,,,,condition_keys,,,,,,0,[],0,[],0,0,True,True,,0,0,0,,,,True,,,0,0,0,0,0,0,0,,,,,,True,,3000,info,findings,,,1000,1000,1000,,3000,3000,
baseline.robust_2B.no_manual,,,,condition_keys,,,,,,0,[],0,[],0,0,True,True,,0,0,0,,,,True,,,0,0,0,0,0,0,0,,,,,,True,,3000,info,findings,,,1000,1000,1000,,3000,3000,
baseline.robust_2B.with_manual,,,,condition_keys,,,,,,0,[],0,[],0,0,True,True,,0,0,0,,,,True,,,0,0,0,0,0,0,0,,,,,,True,,3000,info,findings,,,1000,1000,1000,,3000,3000,
baseline.robust_4B.no_manual,,,,condition_keys,,,,,,0,[],0,[],0,0,True,True,,0,0,0,,,,True,,,0,0,0,0,0,0,0,,,,,,True,,3000,info,findings,,,1000,1000,1000,,3000,3000,
baseline.robust_4B.with_manual,,,,condition_keys,,,,,,0,[],0,[],0,0,True,True,,0,0,0,,,,True,,,0,0,0,0,0,0,0,,,,,,True,,3000,info,findings,,,1000,1000,1000,,3000,3000,
interactive.legacy_0.8B.ABA,,,,condition_keys,,,,,,0,[],0,[],0,0,True,True,,0,0,0,,,,True,,,0,0,779,1000,0,0,0,,,,,,False,,1221,warning,findings,,,1000,221,0,,1221,1221,
interactive.rejudge_2B.ABA,,,,condition_keys,,,,,,0,[],0,[],0,0,True,True,,0,0,0,,,,True,,,0,0,0,0,0,0,0,,,,,,True,,3000,info,findings,,,1000,1000,1000,,3000,3000,
interactive.rejudge_2B.BAB,,,,condition_keys,,,,,,0,[],0,[],0,0,True,True,,0,0,0,,,,True,,,0,0,0,0,0,0,0,,,,,,True,,3000,info,findings,,,1000,1000,1000,,3000,3000,
interactive.robust_0.8B.ABA,,,,condition_keys,,,,,,0,[],0,[],0,0,True,True,,0,0,0,,,,True,,,0,0,0,0,0,0,0,,,,,,True,,3000,info,findings,,,1000,1000,1000,,3000,3000,
interactive.robust_0.8B.BAB,,,,condition_keys,,,,,,0,[],0,[],0,0,True,True,,0,0,0,,,,True,,,0,0,0,0,0,0,0,,,,,,True,,3000,info,findings,,,1000,1000,1000,,3000,3000,
interactive.robust_0.8B.BAB_swapped_labels,,,,condition_keys,,,,,,0,[],0,[],0,0,True,True,,0,0,0,,,,True,,,0,0,0,0,0,0,0,,,,,,True,,3000,info,findings,,,1000,1000,1000,,3000,3000,
statement.legacy_0.8B,,,,condition_keys,,,,,,0,[],0,[],0,0,True,True,,0,0,0,,,,True,,,0,0,530,1000,0,0,0,,,,,,False,,1470,warning,findings,,,1000,470,0,,1470,1470,
statement.older_pydantic_0.8B,,,,condition_keys,,,,,,0,[],0,[],0,0,True,True,,0,0,0,,,,True,,,0,0,0,0,0,0,0,,,,,,True,,3000,info,findings,,,1000,1000,1000,,3000,3000,
statement.rejudge_2B,,,,condition_keys,,,,,,0,[],0,[],0,0,True,True,,0,0,0,,,,True,,,0,0,0,0,0,0,0,,,,,,True,,3000,info,findings,,,1000,1000,1000,,3000,3000,
statement.robust_0.8B,,,,condition_keys,,,,,,0,[],0,[],0,0,True,True,,0,0,0,,,,True,,,0,0,0,0,0,0,0,,,,,,True,,3000,info,findings,,,1000,1000,1000,,3000,3000,
asymmetric_titleonly.baseline,,,,ground_truth_within_condition,,[],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3000,info,findings,0,0,,,,,,,
asymmetric_titleonly.interactive.ABA,,,,ground_truth_within_condition,,[],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3000,info,findings,0,0,,,,,,,
asymmetric_titleonly.statement,,,,ground_truth_within_condition,,[],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3000,info,findings,0,0,,,,,,,
baseline.legacy_0.8B,,,,ground_truth_within_condition,,[],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1189,info,findings,0,0,,,,,,,
baseline.older_pydantic_0.8B,,,,ground_truth_within_condition,,[],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3000,info,findings,0,0,,,,,,,
baseline.robust_0.8B.no_manual,,,,ground_truth_within_condition,,[],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3000,info,findings,0,0,,,,,,,
baseline.robust_0.8B.with_manual,,,,ground_truth_within_condition,,[],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3000,info,findings,0,0,,,,,,,
baseline.robust_2B.no_manual,,,,ground_truth_within_condition,,[],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3000,info,findings,0,0,,,,,,,
baseline.robust_2B.with_manual,,,,ground_truth_within_condition,,[],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3000,info,findings,0,0,,,,,,,
baseline.robust_4B.no_manual,,,,ground_truth_within_condition,,[],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3000,info,findings,0,0,,,,,,,
baseline.robust_4B.with_manual,,,,ground_truth_within_condition,,[],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3000,info,findings,0,0,,,,,,,
interactive.legacy_0.8B.ABA,,,,ground_truth_within_condition,,[],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1221,info,findings,0,0,,,,,,,
interactive.rejudge_2B.ABA,,,,ground_truth_within_condition,,[],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3000,info,findings,0,0,,,,,,,
interactive.rejudge_2B.BAB,,,,ground_truth_within_condition,,[],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3000,info,findings,0,0,,,,,,,
interactive.robust_0.8B.ABA,,,,ground_truth_within_condition,,[],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3000,info,findings,0,0,,,,,,,
interactive.robust_0.8B.BAB,,,,ground_truth_within_condition,,[],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3000,info,findings,0,0,,,,,,,
interactive.robust_0.8B.BAB_swapped_labels,,,,ground_truth_within_condition,,[],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3000,info,findings,0,0,,,,,,,
statement.legacy_0.8B,,,,ground_truth_within_condition,,[],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1470,info,findings,0,0,,,,,,,
statement.older_pydantic_0.8B,,,,ground_truth_within_condition,,[],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3000,info,findings,0,0,,,,,,,
statement.rejudge_2B,,,,ground_truth_within_condition,,[],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3000,info,findings,0,0,,,,,,,
statement.robust_0.8B,,,,ground_truth_within_condition,,[],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3000,info,findings,0,0,,,,,,,
,,6780,,ground_truth_across_conditions,,[],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info,findings,,,,,,,,,
,asymmetric_titleonly_baseline_full.json,,,full_file_unique_record_count,,,,,,,,,,,,,,,,,,3000,,,,,"asymmetric_titleonly_baseline_full.json has the expected 3,000 unique (stage, pmid) records.",,,,,,,,3000,,,True,,,,,info,findings,,,,,,,,,
,asymmetric_titleonly_interactive_aba_full.json,,,full_file_unique_record_count,,,,,,,,,,,,,,,,,,3000,,,,,"asymmetric_titleonly_interactive_aba_full.json has the expected 3,000 unique (stage, pmid) records.",,,,,,,,3000,,,True,,,,,info,findings,,,,,,,,,
,asymmetric_titleonly_statement_full.json,,,full_file_unique_record_count,,,,,,,,,,,,,,,,,,3000,,,,,"asymmetric_titleonly_statement_full.json has the expected 3,000 unique (stage, pmid) records.",,,,,,,,3000,,,True,,,,,info,findings,,,,,,,,,
,baseline_nomanual_results_full.json,,,full_file_unique_record_count,,,,,,,,,,,,,,,,,,3000,,,,,"baseline_nomanual_results_full.json has the expected 3,000 unique (stage, pmid) records.",,,,,,,,3000,,,True,,,,,info,findings,,,,,,,,,
,baseline_nomanual_results_rejudge2B_full.json,,,full_file_unique_record_count,,,,,,,,,,,,,,,,,,3000,,,,,"baseline_nomanual_results_rejudge2B_full.json has the expected 3,000 unique (stage, pmid) records.",,,,,,,,3000,,,True,,,,,info,findings,,,,,,,,,
