comparison,accuracy_difference_right_minus_left,argument_content_match_count,argument_content_pair_count,argument_content_verified_for_all_pairs,balanced_accuracy_difference_right_minus_left,broken_by_right,clustered_bootstrap_ci_95,comparison_id,comparison_status,exact_pairs,fixed_by_right,left_accuracy,left_complete,left_condition,mcnemar_p_value,prediction_agreement_rate,primary_eligible,right_accuracy,right_complete,right_condition
Baseline no manual: 0.8B → 2B,0.03599999999999992,0,0,,0.04399999999999993,163,"[0.022333333333333334, 0.04933333333333333]",baseline.robust_0.8B.no_manual__vs__baseline.robust_2B.no_manual,controlled_after_exact_matching,3000,271,0.8333333333333334,True,baseline.robust_0.8B.no_manual,2.446366224610171e-07,0.8553333333333333,True,0.8693333333333333,True,baseline.robust_2B.no_manual
Baseline no manual: 2B → 4B,-0.06599999999999995,0,0,,-0.02199999999999991,379,"[-0.081, -0.051]",baseline.robust_2B.no_manual__vs__baseline.robust_4B.no_manual,controlled_after_exact_matching,3000,181,0.8693333333333333,True,baseline.robust_2B.no_manual,3.9826011332795286e-17,0.8133333333333334,True,0.8033333333333333,True,baseline.robust_4B.no_manual
Baseline with manual: 0.8B → 2B,0.04833333333333334,0,0,,0.06999999999999995,235,"[0.03266666666666666, 0.064]",baseline.robust_0.8B.with_manual__vs__baseline.robust_2B.with_manual,controlled_after_exact_matching,3000,380,0.8016666666666666,True,baseline.robust_0.8B.with_manual,5.447006215166319e-09,0.795,True,0.85,True,baseline.robust_2B.with_manual
Baseline with manual: 2B → 4B,-0.30333333333333334,0,0,,-0.17400000000000004,1140,"[-0.32033333333333336, -0.286]",baseline.robust_2B.with_manual__vs__baseline.robust_4B.with_manual,controlled_after_exact_matching,3000,230,0.85,True,baseline.robust_2B.with_manual,4.848359233209757e-145,0.5433333333333333,True,0.5466666666666666,True,baseline.robust_4B.with_manual
Manual effect at 0.8B,-0.03166666666666673,0,0,,-0.05449999999999999,365,"[-0.047, -0.016]",baseline.robust_0.8B.no_manual__vs__baseline.robust_0.8B.with_manual,controlled_after_exact_matching,3000,270,0.8333333333333334,True,baseline.robust_0.8B.no_manual,0.0001864889467792623,0.7883333333333333,True,0.8016666666666666,True,baseline.robust_0.8B.with_manual
Manual effect at 2B,-0.019333333333333313,0,0,,-0.02849999999999997,207,"[-0.03133333333333333, -0.007333333333333333]",baseline.robust_2B.no_manual__vs__baseline.robust_2B.with_manual,controlled_after_exact_matching,3000,149,0.8693333333333333,True,baseline.robust_2B.no_manual,0.0024716272113861,0.8813333333333333,True,0.85,True,baseline.robust_2B.with_manual
Manual effect at 4B,-0.2566666666666667,0,0,,-0.1805000000000001,870,"[-0.273, -0.23933333333333334]",baseline.robust_4B.no_manual__vs__baseline.robust_4B.with_manual,controlled_after_exact_matching,3000,100,0.8033333333333333,True,baseline.robust_4B.no_manual,5.8320264792995715e-154,0.6766666666666666,True,0.5466666666666666,True,baseline.robust_4B.with_manual
Statements: 0.8B → 2B,0.13833333333333342,3000,3000,True,0.06400000000000006,288,"[0.11965833333333334, 0.158]",statement.robust_0.8B__vs__statement.rejudge_2B,controlled_after_exact_matching,3000,703,0.6566666666666666,True,statement.robust_0.8B,1.1162849621133594e-40,0.6696666666666666,True,0.795,True,statement.rejudge_2B
Interactive ABA: 0.8B → 2B,0.19800000000000006,3000,3000,True,0.12124999999999997,357,"[0.17733333333333334, 0.21866666666666668]",interactive.robust_0.8B.ABA__vs__interactive.rejudge_2B.ABA,controlled_after_exact_matching,3000,951,0.5536666666666666,True,interactive.robust_0.8B.ABA,1.3234325624745678e-62,0.564,True,0.7516666666666667,True,interactive.rejudge_2B.ABA
Interactive BAB: 0.8B → 2B,0.19766666666666666,3000,3000,True,0.136,320,"[0.17633333333333334, 0.219]",interactive.robust_0.8B.BAB__vs__interactive.rejudge_2B.BAB,controlled_after_exact_matching,3000,913,0.5433333333333333,True,interactive.robust_0.8B.BAB,2.1418882827185285e-66,0.589,True,0.741,True,interactive.rejudge_2B.BAB
