condition_id,actual_coverage_of_condition,actual_coverage_of_confidence_eligible,count,coverage_of_condition,coverage_of_eligible,decile,decile_order,display_name,eligible_count,framing,generated_strict_accuracy,generated_valid_only_accuracy,generated_valid_prediction_count,maximum_confidence,mean_confidence,minimum_confidence,minimum_retained_confidence,probability_field,requested_coverage_of_confidence_eligible,retained_count,table_type,threshold_accuracy
baseline.robust_0.8B.no_manual,,,300,0.1,0.1,1,"1=lowest confidence, 10=highest confidence",Baseline 0.8B — no manual,,yes_no,0.95,0.95,300,0.9324533088603709,0.9161207994272238,0.849971175657575,,verdict_prob_belongs,,,confidence_decile,0.05
baseline.robust_0.8B.no_manual,,,300,0.1,0.1,2,"1=lowest confidence, 10=highest confidence",Baseline 0.8B — no manual,,yes_no,0.8866666666666667,0.8866666666666667,300,0.9441768588653856,0.9386323324363476,0.9324533088603709,,verdict_prob_belongs,,,confidence_decile,0.09
baseline.robust_0.8B.no_manual,,,300,0.1,0.1,3,"1=lowest confidence, 10=highest confidence",Baseline 0.8B — no manual,,yes_no,0.87,0.87,300,0.9504109770159683,0.9472815115796133,0.9441768588653856,,verdict_prob_belongs,,,confidence_decile,0.18
baseline.robust_0.8B.no_manual,,,300,0.1,0.1,4,"1=lowest confidence, 10=highest confidence",Baseline 0.8B — no manual,,yes_no,0.8666666666666667,0.8666666666666667,300,0.9559813501370537,0.9534054884255896,0.9504109770159683,,verdict_prob_belongs,,,confidence_decile,0.15666666666666668
baseline.robust_0.8B.no_manual,,,300,0.1,0.1,5,"1=lowest confidence, 10=highest confidence",Baseline 0.8B — no manual,,yes_no,0.81,0.81,300,0.96036116089903,0.9581406752541602,0.9559813501370537,,verdict_prob_belongs,,,confidence_decile,0.2833333333333333
baseline.robust_0.8B.no_manual,,,300,0.1,0.1,6,"1=lowest confidence, 10=highest confidence",Baseline 0.8B — no manual,,yes_no,0.7833333333333333,0.7833333333333333,300,0.9645892699236761,0.9623710766383854,0.96036116089903,,verdict_prob_belongs,,,confidence_decile,0.31
baseline.robust_0.8B.no_manual,,,300,0.1,0.1,7,"1=lowest confidence, 10=highest confidence",Baseline 0.8B — no manual,,yes_no,0.78,0.78,300,0.9683812327313545,0.9665408167835615,0.9645892699236761,,verdict_prob_belongs,,,confidence_decile,0.43333333333333335
baseline.robust_0.8B.no_manual,,,300,0.1,0.1,8,"1=lowest confidence, 10=highest confidence",Baseline 0.8B — no manual,,yes_no,0.81,0.81,300,0.9724147177732099,0.9704063251861749,0.9683812327313545,,verdict_prob_belongs,,,confidence_decile,0.4533333333333333
baseline.robust_0.8B.no_manual,,,300,0.1,0.1,9,"1=lowest confidence, 10=highest confidence",Baseline 0.8B — no manual,,yes_no,0.7833333333333333,0.7833333333333333,300,0.9770226300899744,0.9746268736727933,0.9724147177732099,,verdict_prob_belongs,,,confidence_decile,0.66
baseline.robust_0.8B.no_manual,,,300,0.1,0.1,10,"1=lowest confidence, 10=highest confidence",Baseline 0.8B — no manual,,yes_no,0.7933333333333333,0.7933333333333333,300,0.9940428462362503,0.9812109157815744,0.9770226300899744,,verdict_prob_belongs,,,confidence_decile,0.7166666666666667
baseline.robust_0.8B.no_manual,1.0,1.0,,,,,,Baseline 0.8B — no manual,3000,yes_no,0.8333333333333334,0.8333333333333334,3000,,,,0.849971175657575,verdict_prob_belongs,1.0,3000,selective_accuracy,0.3333333333333333
baseline.robust_0.8B.no_manual,0.9,0.9,,,,,,Baseline 0.8B — no manual,3000,yes_no,0.8207407407407408,0.8207407407407408,2700,,,,0.9324533088603709,verdict_prob_belongs,0.9,2700,selective_accuracy,0.3648148148148148
baseline.robust_0.8B.no_manual,0.8,0.8,,,,,,Baseline 0.8B — no manual,3000,yes_no,0.8116666666666666,0.8116666666666666,2400,,,,0.9441768588653856,verdict_prob_belongs,0.8,2400,selective_accuracy,0.39958333333333335
baseline.robust_0.8B.no_manual,0.7,0.7,,,,,,Baseline 0.8B — no manual,3000,yes_no,0.8019047619047619,0.8019047619047619,2100,,,,0.9504109770159683,verdict_prob_belongs,0.7,2100,selective_accuracy,0.4338095238095238
baseline.robust_0.8B.no_manual,0.6,0.6,,,,,,Baseline 0.8B — no manual,3000,yes_no,0.7927777777777778,0.7927777777777778,1800,,,,0.9559813501370537,verdict_prob_belongs,0.6,1800,selective_accuracy,0.4777777777777778
baseline.robust_0.8B.no_manual,0.5,0.5,,,,,,Baseline 0.8B — no manual,3000,yes_no,0.7886666666666666,0.7886666666666666,1500,,,,0.96036116089903,verdict_prob_belongs,0.5,1500,selective_accuracy,0.5186666666666667
baseline.robust_0.8B.no_manual,0.4,0.4,,,,,,Baseline 0.8B — no manual,3000,yes_no,0.7916666666666666,0.7916666666666666,1200,,,,0.9645892699236761,verdict_prob_belongs,0.4,1200,selective_accuracy,0.5666666666666667
baseline.robust_0.8B.no_manual,0.3,0.3,,,,,,Baseline 0.8B — no manual,3000,yes_no,0.7922222222222223,0.7922222222222223,900,,,,0.9683812327313545,verdict_prob_belongs,0.3,900,selective_accuracy,0.6188888888888889
baseline.robust_0.8B.no_manual,0.2,0.2,,,,,,Baseline 0.8B — no manual,3000,yes_no,0.7883333333333333,0.7883333333333333,600,,,,0.9724147177732099,verdict_prob_belongs,0.2,600,selective_accuracy,0.7
baseline.robust_0.8B.no_manual,0.1,0.1,,,,,,Baseline 0.8B — no manual,3000,yes_no,0.79,0.79,300,,,,0.9770226300899744,verdict_prob_belongs,0.1,300,selective_accuracy,0.72
baseline.robust_0.8B.no_manual,,,300,0.1,0.1,1,"1=lowest confidence, 10=highest confidence",Baseline 0.8B — no manual,,true_false,0.9033333333333333,0.9033333333333333,300,0.5467381519846138,0.5235583903782987,0.5,,boolean_prob_true,,,confidence_decile,0.32
baseline.robust_0.8B.no_manual,,,300,0.1,0.1,2,"1=lowest confidence, 10=highest confidence",Baseline 0.8B — no manual,,true_false,0.9066666666666666,0.9066666666666666,300,0.5736784074525096,0.5608381508831731,0.5467381519846138,,boolean_prob_true,,,confidence_decile,0.17333333333333334
baseline.robust_0.8B.no_manual,,,300,0.1,0.1,3,"1=lowest confidence, 10=highest confidence",Baseline 0.8B — no manual,,true_false,0.8666666666666667,0.8666666666666667,300,0.5964331462646254,0.5861914958635842,0.5736784074525096,,boolean_prob_true,,,confidence_decile,0.18
baseline.robust_0.8B.no_manual,,,300,0.1,0.1,4,"1=lowest confidence, 10=highest confidence",Baseline 0.8B — no manual,,true_false,0.82,0.82,300,0.6150878555160665,0.606190990251936,0.5964331462646254,,boolean_prob_true,,,confidence_decile,0.29333333333333333
baseline.robust_0.8B.no_manual,,,300,0.1,0.1,5,"1=lowest confidence, 10=highest confidence",Baseline 0.8B — no manual,,true_false,0.84,0.84,300,0.6297746074044134,0.6235110312100712,0.6150878555160665,,boolean_prob_true,,,confidence_decile,0.23333333333333334
baseline.robust_0.8B.no_manual,,,300,0.1,0.1,6,"1=lowest confidence, 10=highest confidence",Baseline 0.8B — no manual,,true_false,0.83,0.83,300,0.6477982179521103,0.6402729949600994,0.6297746074044134,,boolean_prob_true,,,confidence_decile,0.35333333333333333
baseline.robust_0.8B.no_manual,,,300,0.1,0.1,7,"1=lowest confidence, 10=highest confidence",Baseline 0.8B — no manual,,true_false,0.8,0.8,300,0.665410558746814,0.6568868800051291,0.6477982179521103,,boolean_prob_true,,,confidence_decile,0.4266666666666667
baseline.robust_0.8B.no_manual,,,300,0.1,0.1,8,"1=lowest confidence, 10=highest confidence",Baseline 0.8B — no manual,,true_false,0.82,0.82,300,0.6859494550081925,0.6748255679302441,0.665410558746814,,boolean_prob_true,,,confidence_decile,0.45666666666666667
